_id,ETSB Name,Report Year,Population,Contact,Contact Email,Contact Phone,Illinois Surcharge,Wireline Surcharge,VoIP Surcharge,Local Funds,Grant Funds,Interest Income,Contractual Services Revenue,Other Revenue,BOY Reserve Balance,Expenses Not Classified Above,Operating Expenses,Primary PSAPS,Secondary PSAPS,Infrastructure,Call Taking,Radio,CAD,Mapping,EMD,Other Equipment/Software,Coordinator/Director Salary,Telecommunicators Salaries,Mapping/GIS Salaries,Technical/IT Salaries,Other Salaries,Fringe Benefits,Capital Improvements,Leases,Utilities,Emergency Backup,Insurance,Furniture/Fixtures,Office Supplies,Other Facility Costs,Telephone/9-1-1 Trunks,NG 9-1-1/ESInet,Microwave/Broadband,Training/Memberships,Travel,Membership Dues,Legal,Audit,Translation,Contract Fees to Other 9-1-1,Other Professional Services,State Consol. Grant Funds,Remaining Cash Balance,Vehicle,Mobile Data Terminals,Software Licenses,Voice/Data Logging Recorder,Other Personnel Cost,Radio Ciruits,Conferences,Certifications,Public Education,Mapping/Addressing/GIS Professional Services
1,Zion E9-1-1 ETSB,2014,"24,413",John Lewis,johnl@zion.il.us,847-746-4042,109156,54680,0,0,0,0,0,25389,-184531,0,0,1,0,5571,0,243,80673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2570,0,0,23991,0,0,0,368,0,0,0,0,0,5951,0,0,0,0,0,0,0,0,0,0,0,0
2,Zion E9-1-1 ETSB,2015,"24,413",John Lewis,johnl@zion.il.us,847.746.4042,108526,54364,0,0,0,0,0,40151,-128411,0,0,1,0,4006,0,0,76160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32365,0,0,0,0,0,0,0,0,0,4571,0,0,0,0,0,0,0,0,0,0,0,0
3,Zion E9-1-1 ETSB,2016,"24,413",(*blank*),johnl@zion.il.us,(*blank*),117555,58866,0,0,0,0,0,34051,-54972,0,0,1,0,0,0,0,78526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26890,0,0,0,0,0,1590,0,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adams County 9-1-1,2013,"67,103",Steve Rowlands,srowlands@co.adams.il.us,(217) 228-4572,401537.91,0,0,1241075.6,0,3919.89,0,0,502223,16266.2,9599,1,0,9820.21,20193,36679,16241,3865,4243,0,0,998919.66,0,0,115399,30296,1238.73,0,14402.81,4671.28,15739,0,2747.9,0,118767.42,0,0,1391,63,444,0,1545,36.75,0,2854,0,0,0,0,0,0,0,0,0,0,0,0
5,Adams County 9-1-1,2014,"67,103",Steve Rowlands,srowlands@co.adams.il.us,(217) 228-4572,366717.81,0,0,1273932.43,1000,3421.27,0,40.55,714029,19587.28,9599,1,0,10965.47,20192.52,36312,16241,4228,4243,0,0,1035263.77,0,0,116399,31297,10805.97,0,13260.1,2994.72,16919,0,2596.53,0,124269.49,0,0,1478.05,352.72,413,0,1558,62.57,0,1884.82,0,0,0,0,0,0,0,0,0,0,0,0
6,Adams County 9-1-1,2015,"67,103",Steve Rowlands,srowlands@co.adams.il.us,(217) 228-4572,380126.37,0,0,1331201.4,0,3793.59,0,0,856652,21834,9762,1,0,20792.6,35931,30286,22169,0,4243,0,0,1091658,0,0,116527,28796,2800,0,15146,15383,17258,0,1446,0,123856,0,0,3103,0,321,1740,1552,56,0,465,0,0,0,0,0,0,0,0,0,0,0,0
7,Adams County 9-1-1,2016,"67,103",(*blank*),srowlands@co.adams.il.us,(*blank*),391464,0,0,1316378.79,0,3600.05,0,20682.96,1000025,23165.72,9811,1,0,11548.54,6001.81,36217.01,22889,0,4243,0,0,1060529.15,0,0,125580.32,34558,868065.58,0,17004.07,9897.39,17775,0,3357.2,0,44312.72,0,0,1326,845.51,321,0,1551,94.9,0,607.85,0,0,0,0,0,0,0,0,0,0,0,0
8,Adams County 9-1-1,2017,"67,103",Steve Rowlands,srowlands@co.adams.il.us,(217) 228-4572,598461.46,0,0,1221798.35,1177.33,4125.66,0,0,606986.7,0,0,1,0,0,0,59752.1,46601.92,0,13837,20005,76054.72,708862.1,0,54786.24,55074.56,339880.05,6412,0,17017,5692,12245,0,4589.17,11369.46,20181.69,0,6794.9,2029,2969.2,172.38,0,1593.75,165.96,0,0,0,0,0,0,0,0,0,16440.7,450,408.05,0,0
9,Adams County 9-1-1,2018,"67,103",Steve Rowlands,srowlands@co.adams.il.us,217-228-4572,928950,0,0,1413459,0,10830,0,373,949166,0,0,1,0,0,0,538803,79295,0,13837,0,77299,732244,0,55750,54809,330151,0,0,16217,4761,12857,0,3195,25600.75,16250,0,7459,13138,0,229,3040,1615,63,0,0,0,0,1062,0,0,0,1237,18355,612,0,0,0
10,Adams County 9-1-1,2019,"67,103",Jessica Douglas,jdouglas@co.adams.il.us,217-228-4572,971554,0,0,1052620,0,27361,0,72,1294899,0,0,1,0,0,0,454184,0,0,0,0,81806,779375,0,56854,61512,324665,15638,0,16169,13221,20042,0,4565,22287,15932,0,2918,5267,0,142,0,1925,37,0,249,0,0,590,0,0,0,1872,11104,1324,0,0,0
